state,Question,Data_Value
Delaware,Percent of adults aged 18 years and older who have obesity,32.4
Wisconsin,Percent of adults aged 18 years and older who have obesity,34.4
Kentucky,Percent of adults aged 18 years and older who have obesity,41.3
New Hampshire,Percent of adults aged 18 years and older who have obesity,24.7
Michigan,Percent of adults aged 18 years and older who have obesity,28.0
Connecticut,Percent of adults aged 18 years and older who have obesity,33.5
Florida,Percent of adults aged 18 years and older who have obesity,14.5
District of Columbia,Percent of adults aged 18 years and older who have obesity,32.3
North Dakota,Percent of adults aged 18 years and older who have obesity,44.8
Guam,Percent of adults aged 18 years and older who have obesity,29.8
Nebraska,Percent of adults aged 18 years and older who have obesity,39.5
Maine,Percent of adults aged 18 years and older who have obesity,27.2
Florida,Percent of adults aged 18 years and older who have obesity,37.2
Kansas,Percent of adults aged 18 years and older who have obesity,39.8
Maine,Percent of adults aged 18 years and older who have obesity,30.2
Pennsylvania,Percent of adults aged 18 years and older who have obesity,28.3
Mississippi,Percent of adults aged 18 years and older who have obesity,44.0
New York,Percent of adults aged 18 years and older who have obesity,32.4
New Jersey,Percent of adults aged 18 years and older who have obesity,25.8
Indiana,Percent of adults aged 18 years and older who have obesity,33.6
Guam,Percent of adults aged 18 years and older who have obesity,23.5
Colorado,Percent of adults aged 18 years and older who have obesity,29.2
Virginia,Percent of adults aged 18 years and older who have obesity,29.4
Oklahoma,Percent of adults aged 18 years and older who have obesity,33.2
Texas,Percent of adults aged 18 years and older who have obesity,33.5
Iowa,Percent of adults aged 18 years and older who have obesity,38.0
Oklahoma,Percent of adults aged 18 years and older who have obesity,34.8
Delaware,Percent of adults aged 18 years and older who have obesity,34.8
New Mexico,Percent of adults aged 18 years and older who have obesity,25.7
Oregon,Percent of adults aged 18 years and older who have obesity,38.4
Minnesota,Percent of adults aged 18 years and older who have obesity,32.7
Connecticut,Percent of adults aged 18 years and older who have obesity,34.0
Illinois,Percent of adults aged 18 years and older who have obesity,36.3
South Carolina,Percent of adults aged 18 years and older who have obesity,39.2
New Hampshire,Percent of adults aged 18 years and older who have obesity,29.9
Alaska,Percent of adults aged 18 years and older who have obesity,29.8
North Dakota,Percent of adults aged 18 years and older who have obesity,35.7
Pennsylvania,Percent of adults aged 18 years and older who have obesity,16.1
Montana,Percent of adults aged 18 years and older who have obesity,25.8
Vermont,Percent of adults aged 18 years and older who have obesity,32.3
Pennsylvania,Percent of adults aged 18 years and older who have obesity,18.6
Nevada,Percent of adults aged 18 years and older who have obesity,27.6
Nevada,Percent of adults aged 18 years and older who have obesity,27.9
Wyoming,Percent of adults aged 18 years and older who have obesity,34.2
Louisiana,Percent of adults aged 18 years and older who have obesity,27.9
Massachusetts,Percent of adults aged 18 years and older who have obesity,26.9
Puerto Rico,Percent of adults aged 18 years and older who have obesity,35.3
Tennessee,Percent of adults aged 18 years and older who have obesity,39.2
Washington,Percent of adults aged 18 years and older who have obesity,34.9
Montana,Percent of adults aged 18 years and older who have obesity,26.5
New Hampshire,Percent of adults aged 18 years and older who have obesity,33.9
Colorado,Percent of adults aged 18 years and older who have obesity,23.7
Arkansas,Percent of adults aged 18 years and older who have obesity,30.6
Wisconsin,Percent of adults aged 18 years and older who have obesity,28.4
California,Percent of adults aged 18 years and older who have obesity,27.2
New York,Percent of adults aged 18 years and older who have obesity,25.2
Puerto Rico,Percent of adults aged 18 years and older who have obesity,36.4
Arkansas,Percent of adults aged 18 years and older who have obesity,45.7
National,Percent of adults aged 18 years and older who have obesity,33.0
Virginia,Percent of adults aged 18 years and older who have obesity,30.2
Hawaii,Percent of adults aged 18 years and older who have obesity,45.2
Connecticut,Percent of adults aged 18 years and older who have obesity,30.4
Ohio,Percent of adults aged 18 years and older who have obesity,36.1
Alabama,Percent of adults aged 18 years and older who have obesity,31.8
Pennsylvania,Percent of adults aged 18 years and older who have obesity,41.9
National,Percent of adults aged 18 years and older who have obesity,34.2
Massachusetts,Percent of adults aged 18 years and older who have obesity,24.5
West Virginia,Percent of adults aged 18 years and older who have obesity,36.6
District of Columbia,Percent of adults aged 18 years and older who have obesity,30.1
Indiana,Percent of adults aged 18 years and older who have obesity,35.5
South Dakota,Percent of adults aged 18 years and older who have obesity,36.5
Kentucky,Percent of adults aged 18 years and older who have obesity,42.4
Florida,Percent of adults aged 18 years and older who have obesity,30.7
Montana,Percent of adults aged 18 years and older who have obesity,27.3
Vermont,Percent of adults aged 18 years and older who have obesity,31.8
Louisiana,Percent of adults aged 18 years and older who have obesity,29.3
Alaska,Percent of adults aged 18 years and older who have obesity,25.1
Maryland,Percent of adults aged 18 years and older who have obesity,36.9
Indiana,Percent of adults aged 18 years and older who have obesity,34.6
Alabama,Percent of adults aged 18 years and older who have obesity,43.9
Kansas,Percent of adults aged 18 years and older who have obesity,28.9
Texas,Percent of adults aged 18 years and older who have obesity,38.6
Virginia,Percent of adults aged 18 years and older who have obesity,34.1
Hawaii,Percent of adults aged 18 years and older who have obesity,30.3
Connecticut,Percent of adults aged 18 years and older who have obesity,29.9
Nebraska,Percent of adults aged 18 years and older who have obesity,32.4
North Dakota,Percent of adults aged 18 years and older who have obesity,36.0
Oregon,Percent of adults aged 18 years and older who have obesity,29.9
Minnesota,Percent of adults aged 18 years and older who have obesity,24.7
Florida,Percent of adults aged 18 years and older who have obesity,25.9
Wisconsin,Percent of adults aged 18 years and older who have obesity,31.0
National,Percent of adults aged 18 years and older who have obesity,26.7
Nebraska,Percent of adults aged 18 years and older who have obesity,34.3
Michigan,Percent of adults aged 18 years and older who have obesity,33.5
Tennessee,Percent of adults aged 18 years and older who have obesity,35.3
Washington,Percent of adults aged 18 years and older who have obesity,28.7
Oregon,Percent of adults aged 18 years and older who have obesity,33.5
Iowa,Percent of adults aged 18 years and older who have obesity,34.6
North Carolina,Percent of adults aged 18 years and older who have obesity,37.8
Nebraska,Percent of adults aged 18 years and older who have obesity,20.3
Illinois,Percent of adults aged 18 years and older who have obesity,27.4
Florida,Percent of adults aged 18 years and older who have obesity,34.1
Georgia,Percent of adults aged 18 years and older who have obesity,36.5
Virginia,Percent of adults aged 18 years and older who have obesity,15.9
South Carolina,Percent of adults aged 18 years and older who have obesity,43.6
Virginia,Percent of adults aged 18 years and older who have obesity,29.2
Rhode Island,Percent of adults aged 18 years and older who have obesity,32.2
Guam,Percent of adults aged 18 years and older who have obesity,27.6
New Jersey,Percent of adults aged 18 years and older who have obesity,27.8
California,Percent of adults aged 18 years and older who have obesity,27.6
Texas,Percent of adults aged 18 years and older who have obesity,36.1
Utah,Percent of adults aged 18 years and older who have obesity,40.6
New York,Percent of adults aged 18 years and older who have obesity,27.6
Illinois,Percent of adults aged 18 years and older who have obesity,31.2
Delaware,Percent of adults aged 18 years and older who have obesity,30.0
New Hampshire,Percent of adults aged 18 years and older who have obesity,34.9
Maryland,Percent of adults aged 18 years and older who have obesity,36.6
Minnesota,Percent of adults aged 18 years and older who have obesity,32.5
Virginia,Percent of adults aged 18 years and older who have obesity,27.7
Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.7
New Mexico,Percent of adults aged 18 years and older who have obesity,39.7
Nebraska,Percent of adults aged 18 years and older who have obesity,33.8
Michigan,Percent of adults aged 18 years and older who have obesity,38.9
Washington,Percent of adults aged 18 years and older who have obesity,34.7
Wyoming,Percent of adults aged 18 years and older who have obesity,24.4
Arizona,Percent of adults aged 18 years and older who have obesity,33.9
Washington,Percent of adults aged 18 years and older who have obesity,32.6
Wyoming,Percent of adults aged 18 years and older who have obesity,31.7
Guam,Percent of adults aged 18 years and older who have obesity,35.9
Louisiana,Percent of adults aged 18 years and older who have obesity,31.8
Kansas,Percent of adults aged 18 years and older who have obesity,41.2
Washington,Percent of adults aged 18 years and older who have obesity,33.5
California,Percent of adults aged 18 years and older who have obesity,22.9
Utah,Percent of adults aged 18 years and older who have obesity,34.0
Puerto Rico,Percent of adults aged 18 years and older who have obesity,30.6
Nevada,Percent of adults aged 18 years and older who have obesity,25.2
Tennessee,Percent of adults aged 18 years and older who have obesity,33.1
Connecticut,Percent of adults aged 18 years and older who have obesity,26.4
North Carolina,Percent of adults aged 18 years and older who have obesity,34.4
Colorado,Percent of adults aged 18 years and older who have obesity,20.1
Missouri,Percent of adults aged 18 years and older who have obesity,41.9
Wisconsin,Percent of adults aged 18 years and older who have obesity,34.8
West Virginia,Percent of adults aged 18 years and older who have obesity,43.0
South Carolina,Percent of adults aged 18 years and older who have obesity,41.8
District of Columbia,Percent of adults aged 18 years and older who have obesity,28.0
Washington,Percent of adults aged 18 years and older who have obesity,9.8
Iowa,Percent of adults aged 18 years and older who have obesity,38.1
Idaho,Percent of adults aged 18 years and older who have obesity,32.7
Vermont,Percent of adults aged 18 years and older who have obesity,33.8
New Mexico,Percent of adults aged 18 years and older who have obesity,41.6
Arkansas,Percent of adults aged 18 years and older who have obesity,37.3
Rhode Island,Percent of adults aged 18 years and older who have obesity,30.6
New Jersey,Percent of adults aged 18 years and older who have obesity,26.1
Wisconsin,Percent of adults aged 18 years and older who have obesity,36.9
Minnesota,Percent of adults aged 18 years and older who have obesity,30.1
Ohio,Percent of adults aged 18 years and older who have obesity,7.3
Georgia,Percent of adults aged 18 years and older who have obesity,28.2
Tennessee,Percent of adults aged 18 years and older who have obesity,33.3
Michigan,Percent of adults aged 18 years and older who have obesity,34.0
Wisconsin,Percent of adults aged 18 years and older who have obesity,38.7
Delaware,Percent of adults aged 18 years and older who have obesity,33.5
Utah,Percent of adults aged 18 years and older who have obesity,27.7
Maryland,Percent of adults aged 18 years and older who have obesity,31.2
North Carolina,Percent of adults aged 18 years and older who have obesity,24.8
Arizona,Percent of adults aged 18 years and older who have obesity,29.4
Iowa,Percent of adults aged 18 years and older who have obesity,32.5
Illinois,Percent of adults aged 18 years and older who have obesity,28.3
Michigan,Percent of adults aged 18 years and older who have obesity,34.3
New York,Percent of adults aged 18 years and older who have obesity,30.8
Idaho,Percent of adults aged 18 years and older who have obesity,36.4
Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.5
Iowa,Percent of adults aged 18 years and older who have obesity,40.7
Ohio,Percent of adults aged 18 years and older who have obesity,33.8
Maine,Percent of adults aged 18 years and older who have obesity,33.2
New York,Percent of adults aged 18 years and older who have obesity,29.0
Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.3
Florida,Percent of adults aged 18 years and older who have obesity,39.4
Kentucky,Percent of adults aged 18 years and older who have obesity,34.3
New Jersey,Percent of adults aged 18 years and older who have obesity,31.7
Delaware,Percent of adults aged 18 years and older who have obesity,18.4
South Dakota,Percent of adults aged 18 years and older who have obesity,30.1
Oregon,Percent of adults aged 18 years and older who have obesity,27.9
Mississippi,Percent of adults aged 18 years and older who have obesity,32.3
Rhode Island,Percent of adults aged 18 years and older who have obesity,27.1
Nebraska,Percent of adults aged 18 years and older who have obesity,30.5
Georgia,Percent of adults aged 18 years and older who have obesity,32.2
New York,Percent of adults aged 18 years and older who have obesity,24.3
Kansas,Percent of adults aged 18 years and older who have obesity,33.3
Ohio,Percent of adults aged 18 years and older who have obesity,29.4
Kansas,Percent of adults aged 18 years and older who have obesity,34.4
South Dakota,Percent of adults aged 18 years and older who have obesity,28.2
North Dakota,Percent of adults aged 18 years and older who have obesity,37.3
Arkansas,Percent of adults aged 18 years and older who have obesity,36.2
Minnesota,Percent of adults aged 18 years and older who have obesity,32.6
Hawaii,Percent of adults aged 18 years and older who have obesity,18.2
Michigan,Percent of adults aged 18 years and older who have obesity,40.1
Indiana,Percent of adults aged 18 years and older who have obesity,15.2
Massachusetts,Percent of adults aged 18 years and older who have obesity,32.5
Guam,Percent of adults aged 18 years and older who have obesity,13.0
Montana,Percent of adults aged 18 years and older who have obesity,25.8
National,Percent of adults aged 18 years and older who have obesity,28.9
Virginia,Percent of adults aged 18 years and older who have obesity,26.9
Oklahoma,Percent of adults aged 18 years and older who have obesity,39.5
Alaska,Percent of adults aged 18 years and older who have obesity,32.7
Utah,Percent of adults aged 18 years and older who have obesity,31.7
Massachusetts,Percent of adults aged 18 years and older who have obesity,28.1
North Dakota,Percent of adults aged 18 years and older who have obesity,34.9
Florida,Percent of adults aged 18 years and older who have obesity,36.1
Mississippi,Percent of adults aged 18 years and older who have obesity,41.1
New Mexico,Percent of adults aged 18 years and older who have obesity,38.0
Colorado,Percent of adults aged 18 years and older who have obesity,25.7
North Dakota,Percent of adults aged 18 years and older who have obesity,34.4
District of Columbia,Percent of adults aged 18 years and older who have obesity,17.5
California,Percent of adults aged 18 years and older who have obesity,32.0
Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.9
Nevada,Percent of adults aged 18 years and older who have obesity,37.6
Kentucky,Percent of adults aged 18 years and older who have obesity,21.4
Washington,Percent of adults aged 18 years and older who have obesity,21.2
Kansas,Percent of adults aged 18 years and older who have obesity,16.4
Texas,Percent of adults aged 18 years and older who have obesity,33.1
Louisiana,Percent of adults aged 18 years and older who have obesity,39.7
Arkansas,Percent of adults aged 18 years and older who have obesity,42.0
New Hampshire,Percent of adults aged 18 years and older who have obesity,25.4
South Carolina,Percent of adults aged 18 years and older who have obesity,29.0
Indiana,Percent of adults aged 18 years and older who have obesity,40.6
Hawaii,Percent of adults aged 18 years and older who have obesity,24.0
Arizona,Percent of adults aged 18 years and older who have obesity,28.7
Oklahoma,Percent of adults aged 18 years and older who have obesity,33.0
Guam,Percent of adults aged 18 years and older who have obesity,30.8
Iowa,Percent of adults aged 18 years and older who have obesity,36.0
Ohio,Percent of adults aged 18 years and older who have obesity,34.8
Georgia,Percent of adults aged 18 years and older who have obesity,35.0
Idaho,Percent of adults aged 18 years and older who have obesity,10.7
New Hampshire,Percent of adults aged 18 years and older who have obesity,28.3
Alaska,Percent of adults aged 18 years and older who have obesity,29.2
Vermont,Percent of adults aged 18 years and older who have obesity,27.5
Kentucky,Percent of adults aged 18 years and older who have obesity,30.0
California,Percent of adults aged 18 years and older who have obesity,29.3
Idaho,Percent of adults aged 18 years and older who have obesity,32.1
Indiana,Percent of adults aged 18 years and older who have obesity,39.4
South Carolina,Percent of adults aged 18 years and older who have obesity,39.1
Illinois,Percent of adults aged 18 years and older who have obesity,32.9
South Dakota,Percent of adults aged 18 years and older who have obesity,32.7
Vermont,Percent of adults aged 18 years and older who have obesity,35.5
Louisiana,Percent of adults aged 18 years and older who have obesity,34.1
Delaware,Percent of adults aged 18 years and older who have obesity,30.2
Delaware,Percent of adults aged 18 years and older who have obesity,39.7
West Virginia,Percent of adults aged 18 years and older who have obesity,22.3
Kentucky,Percent of adults aged 18 years and older who have obesity,37.7
Michigan,Percent of adults aged 18 years and older who have obesity,35.5
New York,Percent of adults aged 18 years and older who have obesity,30.9
Arizona,Percent of adults aged 18 years and older who have obesity,35.4
Colorado,Percent of adults aged 18 years and older who have obesity,32.2
Nebraska,Percent of adults aged 18 years and older who have obesity,30.3
Iowa,Percent of adults aged 18 years and older who have obesity,37.4
Maine,Percent of adults aged 18 years and older who have obesity,26.5
Arkansas,Percent of adults aged 18 years and older who have obesity,34.9
New York,Percent of adults aged 18 years and older who have obesity,24.0
Mississippi,Percent of adults aged 18 years and older who have obesity,37.9
Arizona,Percent of adults aged 18 years and older who have obesity,29.5
North Dakota,Percent of adults aged 18 years and older who have obesity,40.7
Utah,Percent of adults aged 18 years and older who have obesity,27.1
Ohio,Percent of adults aged 18 years and older who have obesity,38.9
Kansas,Percent of adults aged 18 years and older who have obesity,38.3
Rhode Island,Percent of adults aged 18 years and older who have obesity,30.6
Hawaii,Percent of adults aged 18 years and older who have obesity,26.1
Missouri,Percent of adults aged 18 years and older who have obesity,40.1
National,Percent of adults aged 18 years and older who have obesity,35.4
Massachusetts,Percent of adults aged 18 years and older who have obesity,25.7
Minnesota,Percent of adults aged 18 years and older who have obesity,35.7
Colorado,Percent of adults aged 18 years and older who have obesity,29.8
Wyoming,Percent of adults aged 18 years and older who have obesity,26.4
Michigan,Percent of adults aged 18 years and older who have obesity,37.9
North Carolina,Percent of adults aged 18 years and older who have obesity,44.8
New York,Percent of adults aged 18 years and older who have obesity,31.2
Louisiana,Percent of adults aged 18 years and older who have obesity,38.8
Nevada,Percent of adults aged 18 years and older who have obesity,10.2
Washington,Percent of adults aged 18 years and older who have obesity,35.9
Washington,Percent of adults aged 18 years and older who have obesity,28.0
Wisconsin,Percent of adults aged 18 years and older who have obesity,24.3
Tennessee,Percent of adults aged 18 years and older who have obesity,38.1
Louisiana,Percent of adults aged 18 years and older who have obesity,33.0
Minnesota,Percent of adults aged 18 years and older who have obesity,31.8
Vermont,Percent of adults aged 18 years and older who have obesity,37.7
Oklahoma,Percent of adults aged 18 years and older who have obesity,36.2
Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.0
New York,Percent of adults aged 18 years and older who have obesity,33.1
Oregon,Percent of adults aged 18 years and older who have obesity,43.3
California,Percent of adults aged 18 years and older who have obesity,26.3
Kentucky,Percent of adults aged 18 years and older who have obesity,36.6
California,Percent of adults aged 18 years and older who have obesity,40.1
South Carolina,Percent of adults aged 18 years and older who have obesity,32.1
Guam,Percent of adults aged 18 years and older who have obesity,36.2
Alaska,Percent of adults aged 18 years and older who have obesity,28.1
Wisconsin,Percent of adults aged 18 years and older who have obesity,40.3
Alaska,Percent of adults aged 18 years and older who have obesity,30.7
Guam,Percent of adults aged 18 years and older who have obesity,20.6
Texas,Percent of adults aged 18 years and older who have obesity,32.7
Montana,Percent of adults aged 18 years and older who have obesity,31.7
Montana,Percent of adults aged 18 years and older who have obesity,28.9
Colorado,Percent of adults aged 18 years and older who have obesity,26.8
Rhode Island,Percent of adults aged 18 years and older who have obesity,35.5
Maryland,Percent of adults aged 18 years and older who have obesity,28.8
Arkansas,Percent of adults aged 18 years and older who have obesity,37.7
Iowa,Percent of adults aged 18 years and older who have obesity,36.8
Massachusetts,Percent of adults aged 18 years and older who have obesity,29.7
North Carolina,Percent of adults aged 18 years and older who have obesity,36.6
District of Columbia,Percent of adults aged 18 years and older who have obesity,21.7
New Hampshire,Percent of adults aged 18 years and older who have obesity,28.1
Illinois,Percent of adults aged 18 years and older who have obesity,29.8
North Dakota,Percent of adults aged 18 years and older who have obesity,41.0
Connecticut,Percent of adults aged 18 years and older who have obesity,26.1
Connecticut,Percent of adults aged 18 years and older who have obesity,31.5
New Mexico,Percent of adults aged 18 years and older who have obesity,25.8
Delaware,Percent of adults aged 18 years and older who have obesity,37.4
Connecticut,Percent of adults aged 18 years and older who have obesity,28.6
Arizona,Percent of adults aged 18 years and older who have obesity,33.0
New Mexico,Percent of adults aged 18 years and older who have obesity,36.2
Utah,Percent of adults aged 18 years and older who have obesity,29.1
Arkansas,Percent of adults aged 18 years and older who have obesity,34.1
Texas,Percent of adults aged 18 years and older who have obesity,40.2
New York,Percent of adults aged 18 years and older who have obesity,27.0
Connecticut,Percent of adults aged 18 years and older who have obesity,31.2
Maine,Percent of adults aged 18 years and older who have obesity,31.5
Pennsylvania,Percent of adults aged 18 years and older who have obesity,40.3
South Carolina,Percent of adults aged 18 years and older who have obesity,32.3
Montana,Percent of adults aged 18 years and older who have obesity,26.4
Ohio,Percent of adults aged 18 years and older who have obesity,36.7
Hawaii,Percent of adults aged 18 years and older who have obesity,23.0
Pennsylvania,Percent of adults aged 18 years and older who have obesity,30.9
Arkansas,Percent of adults aged 18 years and older who have obesity,50.5
Delaware,Percent of adults aged 18 years and older who have obesity,41.0
Delaware,Percent of adults aged 18 years and older who have obesity,34.2
Alaska,Percent of adults aged 18 years and older who have obesity,24.0
Indiana,Percent of adults aged 18 years and older who have obesity,37.1
Illinois,Percent of adults aged 18 years and older who have obesity,31.8
Minnesota,Percent of adults aged 18 years and older who have obesity,50.2
Florida,Percent of adults aged 18 years and older who have obesity,30.2
Kansas,Percent of adults aged 18 years and older who have obesity,33.8
Kentucky,Percent of adults aged 18 years and older who have obesity,42.1
Washington,Percent of adults aged 18 years and older who have obesity,26.9
Michigan,Percent of adults aged 18 years and older who have obesity,32.4
Nevada,Percent of adults aged 18 years and older who have obesity,31.5
Louisiana,Percent of adults aged 18 years and older who have obesity,45.8
New Hampshire,Percent of adults aged 18 years and older who have obesity,19.4
Vermont,Percent of adults aged 18 years and older who have obesity,26.7
South Carolina,Percent of adults aged 18 years and older who have obesity,36.9
Kansas,Percent of adults aged 18 years and older who have obesity,40.7
Alaska,Percent of adults aged 18 years and older who have obesity,34.7
West Virginia,Percent of adults aged 18 years and older who have obesity,38.5
Iowa,Percent of adults aged 18 years and older who have obesity,39.8
West Virginia,Percent of adults aged 18 years and older who have obesity,40.0
National,Percent of adults aged 18 years and older who have obesity,33.1
National,Percent of adults aged 18 years and older who have obesity,32.0
New Jersey,Percent of adults aged 18 years and older who have obesity,25.8
Mississippi,Percent of adults aged 18 years and older who have obesity,44.2
Oregon,Percent of adults aged 18 years and older who have obesity,29.2
Minnesota,Percent of adults aged 18 years and older who have obesity,27.5
